farm,etp
E1,0.0659845319583963
E10,0.7605476042314873
E100,1.1110267579340387
E1000,0.06147479775980089
E1001,0.011551248999911105
E1002,0.5100684505289359
E1003,0.25795892968263845
E1004,0.23365276913503424
E1005,0.20621032980709397
E1006,4.762345986309894
E1007,0.6724206596141878
E1008,0.0716116988176727
E1009,0.1262352209085252
E101,0.8711014312383323
E1010,1.2808037103298069
E1011,1.8955188757519188
E1012,10.74540581385012
E1013,0.09150768957240643
E1014,0.02195395146235221
E1015,0.20428038047826477
E1016,0.22581207218419413
E1017,0.63980087118855
E1018,1.127940261356565
E1019,1.2301080688653805
E102,0.1670068450528936
E1020,1.042028624766646
E1021,0.024763979020357367
E1022,1.6560858742999378
E1023,0.13195572939816874
E1024,1.0223148724331053
E1025,0.020808071828606986
E1026,0.5512009956440573
E1027,1.3360547604231487
E1028,1.9092470441817049
E1029,0.05601564583518535
E103,0.23914125700062228
E1030,0.006725042225975642
E1031,0.4406471686372122
E1032,1.4178967019290603
E1033,0.21405102675793405
E1034,0.062186861054315944
E1035,0.4829869321717486
E1036,6.376220997421993
E1037,0.050635612054404845
E1038,0.06131033869677305
E1039,0.060525380033780773
E104,0.5072930927193529
E1040,0.32018401635700955
E1041,4.40945861854387
E1042,0.2422775357809583
E1043,0.26344741754822654
E1044,1.502128189172371
E1045,0.42191039203484754
E1046,0.0077535780958307415
E1047,0.39522446439683523
E1048,0.7868828043974279
E1049,1.5507405102675793
E105,1.6307280647168636
E1050,1.0483392968263847
E1051,0.010601831273891013
E1052,0.17719975108898572
E1053,0.17570006222775358
E1054,19.744443061605477
E1055,0.25824339941328117
E1056,0.021599253266957063
E1057,2.652003733665215
E1058,0.35047915370255134
E1059,0.46978161947728686
E106,0.4720099564405725
E1060,0.3050031113876789
E1061,0.05410080896079651
E1062,0.30186683260734287
E1063,0.012342430438261182
E1064,0.30813939016801495
E1065,0.6327442439327939
E1066,0.20228998133167392
E1067,0.6402115743621655
E1068,0.7417299315494711
E1069,0.07056627255756068
E107,0.6021760008297034
E1070,0.6154947106409459
E1071,0.20621032980709397
E1072,0.20228998133167392
E1073,0.1340759178593653
E1074,0.1560298693217175
E1075,0.3347977598008712
E1076,0.13956440572495332
E1077,0.31127566894835096
E1078,0.2728562538892346
E1079,0.4531922837585563
E108,0.29229887101075647
E1080,0.18268823895457373
E1081,0.2414934660858743
E1082,0.25403858120721845
E1083,0.2893217174859987
E1084,0.15524579962663348
E1085,0.3990914747977598
E1086,0.0
E1087,0.2203235843186061
E1088,0.10349719975108898
E1089,0.41712507778469193
E109,0.6484256378344742
E1090,0.11369010578718107
E1091,0.36517392657125075
E1092,0.30029869321717484
E1093,0.62803982576229
E1094,0.12466708151835718
E1095,0.14505289359054138
E1096,0.07373366521468576
E1097,0.19366521468574985
E1098,0.2007218419415059
E1099,0.01400391145879634
E11,0.13594452840252466
E110,0.19523335407591785
E1100,0.2979464841319229
E1101,0.17719975108898567
E1102,0.10192906036092098
E1103,0.15052626900168906
E1104,0.19131300560049783
E1105,0.2597510889856876
E1106,0.18504044803982572
E1107,0.19288114499066586
E1108,1.0550217797137524
E1109,0.4296701929060361
E111,0.23286869943995023
E1110,0.2430616054760423
E1111,0.022730020446261892
E1112,6.4344185853557345
E1113,0.09565650280024891
E1114,0.06664592408214064
E1115,0.16465463596764157
E1116,0.2854013690105787
E1117,0.07840696950840075
E1118,0.46573739887990045
E1119,0.5049408836341007
E112,0.7895581829495955
E1120,0.5096453018046049
E1121,0.19993777224642187
E1122,4.7918979464841325
E1123,0.34969508400746735
E1124,0.2527317983820784
E1125,0.5629359054138146
E1126,0.005300915636945507
E1127,0.17092719352831362
E1128,0.04834118588318962
E1129,8.833422526446794
E113,0.5394399502177971
E1130,0.0
E1131,0.5464965774735532
E1132,0.9120419592852698
E1133,1.5644990665836964
E1134,12.812179332607343
E1135,0.09389812427771359
E1136,0.759424133997096
E1137,1.7578842563783448
E1138,0.04939639079029247
E1139,0.43437461107654013
E114,0.34028624766645926
E1140,0.0230233798559872
E1141,0.48916614810205356
E1142,0.17659258600764513
E1143,1.5723210952084627
E1144,4.049495955196018
E1145,0.0
E1146,0.34261978842563784
E1147,0.004826206773935461
E1148,0.15446172993154947
E1149,0.08938394523957684
E115,0.7503546981953951
E1150,0.06527246866388126
E1151,1.6220721841941506
E1152,0.013766557027291317
E1153,0.673851897946484
E1154,0.4647714685749844
E1155,0.1933727442439328
E1156,0.02195395146235221
E1157,0.05988710107565117
E1158,0.017564227931371676
E1159,2.555021779713752
E116,0.6437212196639701
E1160,1.783758556316117
E1161,1.0368352742465998
E1162,0.13093963907902925
E1163,0.21248288736776605
E1164,0.17406347230864969
E1165,0.01724775535603165
E1166,0.19758556316116987
E1167,0.3161358120721842
E1168,0.29010578718108276
E1169,6.502943372744244
E117,0.8616925948973242
E1170,0.05880522713130056
E1171,0.011933505200462264
E1172,0.2854013690105787
E1173,0.015428038047826475
E1174,0.20621032980709397
E1175,0.15210952084629747
E1176,0.0940883634100809
E1177,0.03131833940794737
E1178,0.03998755444928438
E1179,3.0814685749844433
E118,0.056453018046048534
E1180,0.012184194150591165
E1181,0.18268823895457373
E1182,0.05488487865588052
E1183,0.12231487243310517
E1184,0.1825993421637479
E1185,0.2642314872433105
E1186,0.10489199039914658
E1187,0.21013067828251397
E1188,0.009019468397190861
E1189,0.5100684505289359
E119,0.2084443061605476
E1190,5.427143746110765
E1191,0.7534909769757313
E1192,0.24619788425637834
E1193,0.2838332296204107
E1194,0.021915725842297094
E1195,0.009256822828695886
E1196,0.0094150591163659
E1197,0.1567410436483243
E1198,0.17780869410614278
E1199,3.947417548226509
E12,0.02998577651346787
E120,0.5127815805849408
E1200,1.19980087118855
E1201,0.07090230242688239
E1202,0.010443594986221
E1203,0.578836911429164
E1204,1.5254797370877413
E1205,0.0016614810205351587
E1206,0.08079118143835008
E1207,0.025001333451862392
E1208,0.0
E1209,0.0146368566094764
E121,0.08624766645924081
E1210,0.014636856609476398
E1211,0.012342430438261177
E1212,0.028086941061427687
E1213,0.35283136278780336
E1214,0.01803360298693217
E1215,0.017249533291848165
E1216,5.461213441194773
E1217,3.7752955818294964
E1218,0.012658903013601211
E1219,0.028482531780602727
E122,0.5496328562538892
E1220,11.541257000622277
E1221,0.09652354283343703
E1222,0.01956855424185853
E1223,4.220584940883634
E1224,0.011155658280736065
E1225,0.04939639079029247
E1226,0.009968886123210953
E1227,0.3369055027113521
E1228,1.4908169615076896
E1229,0.014953329184816429
E123,14.709147479775979
E1230,0.009889767979375946
E1231,0.21640323584318605
E1232,1.9032482887367765
E1233,0.09283847453106944
E1234,0.010127122410880969
E1235,0.0188301182327318
E1236,0.0525326695706285
E1237,0.2806969508400747
E1238,0.12545115121344122
E1239,0.015507156191661483
E124,0.3754775461522506
E1240,0.1481891723708774
E1241,0.004351497910925416
E1242,0.05777402435772069
E1243,0.5857000622277536
E1244,0.0240519157258423
E1245,0.016614810205351587
E1246,0.04470175126677927
E1247,3.2625388923459866
E1248,0.008861232109520847
E1249,0.0
E125,0.7762289981331673
E1250,0.2874797759800871
E1251,0.14348475420037338
E1252,0.017405991643701664
E1253,0.03449906658369633
E1254,0.046996177437994495
E1255,0.5369010578718109
E1256,0.667833585207574
E1257,0.2529184816428127
E1258,0.34993421637478883
E1259,0.011234776424571073
E126,0.31362787803360304
E1260,0.1144741754822651
E1261,0.6907654013690105
E1262,0.008940350253355853
E1263,0.36929682638456757
E1264,0.15446172993154947
E1265,0.049923548759889774
E1266,0.47357809583074056
E1267,0.34734287492221533
E1268,0.009652413547870923
E1269,0.022469552849142146
E127,0.1466210329807094
E1270,0.01795981865054672
E1271,0.5684505289359054
E1272,0.08006756156102765
E1273,0.15720775180016003
E1274,0.25795892968263845
E1275,0.0
E1276,0.023522090852520224
E1277,0.2556067205973864
E1278,0.06597297537558894
E1279,1.1001706818383858
E128,0.13666089763534536
E1280,0.020333362965596947
E1281,0.014083029602631348
E1282,0.11761045426260112
E1283,0.0
E1284,0.5104293714996888
E1285,0.014162147746466356
E1286,0.010839185705396036
E1287,0.007990932527335765
E1288,0.030064894657302874
E1289,0.4917485998755445
E129,0.2681518357187305
E1290,0.0
E1291,0.05134767534891991
E1292,0.029010578718108276
E1293,0.0
E1294,0.10349719975108898
E1295,0.14505289359054138
E1296,0.027442439327940257
E1297,0.0
E1298,0.005459151924615522
E1299,0.04390790292470442
E13,1.589047915370255
E130,0.15838207840696952
E1300,0.5464571017423772
E1301,0.1756316116988177
E1302,0.35910392034847544
E1303,0.17327940261356567
E1304,0.8446176623107238
E1305,0.11192728242510447
E1306,0.07275402257978487
E1307,0.06899813316739266
E1308,0.005459151924615522
E1309,0.0
E131,0.6350964530180461
E1310,0.0
E1311,0.05958929682638457
E1312,0.07605476042314872
E1313,0.0
E1314,0.49710018668326067
E1315,0.0
E1316,0.13956440572495335
E1317,0.010976975731176106
